Review
review three star very low memory not good buy
review bad serviceafter  month it doesnt start without any problem and then i have to change main power icthat become very costly
review first time using apple product amazing experience loved it
review very poor disappointed defective product
review always apple is the best productbuild quality and software works togetheru cant use this one for media purposesits one time investment for office use
review price mismatch never buying such things on amazon ever again
review very good product perfectly packed  delivered on time working good till now
review worst display fonts are blurry best part is help less amazon care saying that there is no return policy
review not worthy of  model in k bcs before  months in sale cut price of  k now no discountonly making fool on name of great indian sale
review be super careful about the no cost emi offer the step is not shown i paid the amount and now kotak refuses to convert my purchase into emi
review very good product perfectly packed  delivered on time working good till now
review its been just  months and the device has already stopped functioning it doesnt turn on i need a replacement m very angry and disappointed
review bad product battery issue with the laptop doesnt give backup as expected  really upset with the product
review better laptop is available in this price segment
review worst laptop ever not for student use i repeat not for students
